"codigo","data_dia","data_semana","data_mes","data_ano","lon","lat","chuva","vento","press","temp","umidade","rajada","amp","regiao","uf","estacao","altitude"
"A017",2023-01-01,"2023-1","2023-1",2023,-46.36638888,-14.08916666,0.6,1.5695652173913,921.091304347826,24.8130434782609,69.0869565217391,6.5,9.8,"CO","GO","POSSE",830
"A017",2023-01-02,"2023-1","2023-1",2023,-46.36638888,-14.08916666,0,2.43181818181818,919.977272727273,26.0045454545455,55.1363636363636,10.5,10,"CO","GO","POSSE",830
"A017",2023-01-03,"2023-1","2023-1",2023,-46.36638888,-14.08916666,19.6,2.09166666666667,919.866666666667,23.575,72.5,9.6,9.1,"CO","GO","POSSE",830
"A017",2023-01-04,"2023-1","2023-1",2023,-46.36638888,-14.08916666,4.6,1.97391304347826,921.008695652174,22.1565217391304,81.7826086956522,10.5,8.7,"CO","GO","POSSE",830
"A017",2023-01-05,"2023-1","2023-1",2023,-46.36638888,-14.08916666,0,1.8,920.508695652174,23.095652173913,76.6521739130435,8.5,7.8,"CO","GO","POSSE",830
"A017",2023-01-06,"2023-1","2023-1",2023,-46.36638888,-14.08916666,0,2.44166666666667,921.420833333333,23.1458333333333,75.0416666666667,8.4,7.5,"CO","GO","POSSE",830
"A017",2023-01-07,"2023-1","2023-1",2023,-46.36638888,-14.08916666,55,1.32083333333333,922.4375,22.8,79.5416666666667,13.3,8,"CO","GO","POSSE",830
"A017",2023-01-08,"2023-2","2023-1",2023,-46.36638888,-14.08916666,2.6,1.70833333333333,922.045833333333,23.4333333333333,76.75,9.7,8.6,"CO","GO","POSSE",830
"A017",2023-01-09,"2023-2","2023-1",2023,-46.36638888,-14.08916666,32,1.26666666666667,922.3625,21.9875,82.4166666666667,6,8.9,"CO","GO","POSSE",830
"A017",2023-01-10,"2023-2","2023-1",2023,-46.36638888,-14.08916666,0,1.35,921.904166666667,25.1375,68.5,6.7,11,"CO","GO","POSSE",830
"A017",2023-01-11,"2023-2","2023-1",2023,-46.36638888,-14.08916666,0.2,2.09130434782609,922.408695652174,23.4478260869565,70.7826086956522,9.4,9.4,"CO","GO","POSSE",830
"A017",2023-01-12,"2023-2","2023-1",2023,-46.36638888,-14.08916666,0.6,1.6695652173913,920.852173913043,23.8782608695652,72.9130434782609,7.9,9,"CO","GO","POSSE",830
"A017",2023-01-13,"2023-2","2023-1",2023,-46.36638888,-14.08916666,10.4,1.20869565217391,920.382608695652,21.8260869565217,84.304347826087,7.4,7.1,"CO","GO","POSSE",830
"A017",2023-01-14,"2023-2","2023-1",2023,-46.36638888,-14.08916666,9.8,1.65,921.191666666667,23.1875,76.9166666666667,9.1,9.7,"CO","GO","POSSE",830
"A017",2023-01-15,"2023-3","2023-1",2023,-46.36638888,-14.08916666,3,1.72916666666667,921.516666666667,23.8166666666667,76.2083333333333,7.1,10.1,"CO","GO","POSSE",830
"A017",2023-01-16,"2023-3","2023-1",2023,-46.36638888,-14.08916666,0,2.26818181818182,920.363636363636,25.5681818181818,60,10.4,10.8,"CO","GO","POSSE",830
"A017",2023-01-17,"2023-3","2023-1",2023,-46.36638888,-14.08916666,0,2.75,920.4625,25.3416666666667,53.75,11,9.8,"CO","GO","POSSE",830
"A017",2023-01-18,"2023-3","2023-1",2023,-46.36638888,-14.08916666,14,1.59565217391304,921.64347826087,24.2521739130435,66.4347826086957,11.4,11.2,"CO","GO","POSSE",830
"A017",2023-01-19,"2023-3","2023-1",2023,-46.36638888,-14.08916666,8.4,1.3875,922.170833333333,22.2625,78.4166666666667,23.2,10.5,"CO","GO","POSSE",830
